,src,dst,start,finish,total_duration,total_bytes,total_packets,src_ports,dst_ports,pps,bps,bpp,num_protocols,flag_ack,flag_fin,flag_psh,flag_rst,flag_syn,attack,cluster,x,y
71470,192.168.10.19,192.168.10.3,2017-07-07 18:50:43.245,2017-07-07 18:50:43.246,0.001206,3150,19,88,40391,15755.0,2611940.0,165.78947368421052,2,1,1,1,1,1,1,0,-2.0847921763564004,4.451020655725758
73756,192.168.10.3,192.168.10.50,2017-07-07 17:10:56.416,2017-07-07 17:10:56.416,4.9e-05,0,3,56422,3268,61224.0,0.0,0.0,1,1,0,0,0,1,1,0,-4.815542211631891,3.9258783519283393
73818,192.168.10.3,192.168.10.8,2017-07-07 20:01:51.308,2017-07-07 20:01:51.309,0.000867,5166,18,88,10397,20761.0,5958478.0,287.0,2,1,1,1,1,1,1,0,-3.3916075392031866,7.97058192903652
73819,192.168.10.3,192.168.10.8,2017-07-07 17:13:49.372,2017-07-07 17:13:49.372,0.00011,0,3,88,6073,27273.0,0.0,0.0,1,1,0,0,0,1,1,0,-3.118766373782359,3.238304924133107
72859,192.168.10.25,192.168.10.3,2017-07-07 19:27:06.776,2017-07-07 19:27:06.777,0.000128,0,3,53738,3268,23437.0,0.0,0.0,1,1,0,0,0,1,1,0,-3.423076020070567,1.6219490744750054
47459,162.242.240.67,192.168.10.50,2017-07-07 19:02:13.022,2017-07-07 19:02:22.178,9.156692,56615,68,80,60865,7.4262630000000005,6182.91,832.5735294117646,2,5,5,5,3,5,1,1,7.412367250020865,-1.2893677910623458
44490,151.101.192.194,192.168.10.50,2017-07-07 19:01:26.975,2017-07-07 19:01:35.149,8.173480999999999,46460,48,80,59616,5.872651,5684.236999999999,967.9166666666665,2,4,4,4,1,4,1,1,5.255453179588234,-0.36235696259409667
37447,146.20.128.189,192.168.10.50,2017-07-07 18:57:40.508,2017-07-07 18:57:43.082,2.5744439999999997,31945,42,80,53293,16.3142,12408.5,760.5952380952382,2,4,3,4,0,4,1,1,3.4240473965006992,-0.03371998456973012
44636,151.101.192.194,192.168.10.50,2017-07-07 19:01:32.914,2017-07-07 19:01:39.607,6.6932339999999995,46460,49,80,59762,7.320825999999999,6941.338000000001,948.1632653061224,2,4,4,4,2,4,1,1,5.416092739543667,-0.42740776688661203
47583,162.242.240.67,192.168.10.50,2017-07-07 19:02:17.147,2017-07-07 19:02:18.397,1.2497120000000002,47835,46,80,60989,36.808479999999996,38276.82,1039.891304347826,2,4,4,4,0,4,1,1,4.14171870085229,0.21008852505570347
28119,107.22.224.100,192.168.10.50,2017-07-07 19:14:12.318,2017-07-07 19:14:15.663,3.344898,11615,12,80,39995,3.5875529999999998,3472.453,967.9166666666665,2,1,1,1,1,1,1,2,0.17327291947918036,1.1117393372134778
57484,178.255.83.1,192.168.10.16,2017-07-07 18:04:41.293,2017-07-07 18:04:41.488,0.195948,1298,11,80,33900,56.1373,6624.21,118.0,2,1,1,1,0,1,1,2,-1.3419148772147227,0.7579011399433607
68214,192.168.10.16,23.60.139.27,2017-07-07 18:03:08.259,2017-07-07 18:03:08.296,0.037198,0,3,80,54586,80.649,0.0,0.0,1,1,0,0,0,1,1,2,-1.5130648149390327,2.227068303407924
77294,192.168.10.8,50.63.243.230,2017-07-07 19:35:24.430,2017-07-07 19:35:24.462,0.032476,0,3,80,10094,92.376,0.0,0.0,1,1,0,0,0,1,1,2,-2.076977688129623,1.5893469327791074
9553,104.16.26.35,192.168.10.50,2017-07-07 19:02:50.198,2017-07-07 19:02:50.209,0.010645,20,5,80,23427,469.7,1878.8,4.0,2,1,0,1,0,1,1,2,-1.8759241644961915,0.6294854723014477
50141,169.54.33.166,192.168.10.50,2017-07-07 19:03:39.677,2017-07-07 19:03:39.978,0.300729,36240,38,80,63290,126.36,120507.0,953.6842105263157,2,4,3,4,0,4,1,4,3.4382132594980273,0.48612689907531587
59366,192.168.10.12,212.42.76.247,2017-07-07 17:42:57.731,2017-07-07 17:43:00.909,3.177495,21619,94,443,42858,29.58305,6803.786999999999,229.9893617021277,3,1,0,1,0,1,1,4,-0.6391509951499306,-1.029305835818272
22197,104.97.137.26,192.168.10.50,2017-07-07 19:10:56.532,2017-07-07 19:10:56.622,0.09001,11615,12,80,34634,133.3,129041.0,967.9166666666665,2,1,1,1,0,1,1,4,-0.6739569899126923,1.4538008160428306
76188,192.168.10.50,192.168.10.9,2017-07-07 18:42:55.329,2017-07-07 18:42:56.788,1.459275,4085,79,9340,22,54.136469999999996,2799.335,51.708860759493675,3,1,1,1,0,1,1,4,-1.7362127403995922,-1.687573368345502
41977,151.101.0.67,192.168.10.25,2017-07-07 18:06:08.393,2017-07-07 18:06:09.234,0.841456,15782,154,53118,443,183.016,18755.6,102.48051948051949,2,1,0,1,0,1,1,4,-1.6933555823801036,-2.293969980944753
